TestA_ST_1
Time
Bot 0,Bot 1,Bot 2,Bot 3,Bot 4,Bot 5,Bot 6,Bot 7,
0.125848,0.163054,0.049790,0.120553,0.158056,0.047670,0.123111,0.157092,
0.000127,0.000105,0.000107,0.000115,0.000108,0.000149,0.000116,0.000105,
0.000166,0.000106,0.000107,0.000108,0.000114,0.000107,0.000106,0.000106,
0.000221,0.000106,0.000107,0.000126,0.000106,0.000107,0.000111,0.000105,
0.000179,0.000109,0.000107,0.000107,0.000158,0.000158,0.000257,0.000119,
0.000182,0.000107,0.000107,0.000106,0.000107,0.000108,0.000109,0.000107,
0.000194,0.000125,0.000107,0.000107,0.000107,0.000148,0.000132,0.000138,
0.000268,0.000114,0.000107,0.000106,0.000106,0.000131,0.000109,0.000106,
0.000178,0.000113,0.000109,0.000110,0.000109,0.000110,0.000117,0.000109,
0.000196,0.000107,0.000107,0.000106,0.000106,0.000150,0.000111,0.000106,
0.000164,0.000107,0.000107,0.000109,0.000264,0.000107,0.000230,0.000107,
0.000207,0.000108,0.000107,0.000107,0.000106,0.000107,0.000107,0.000106,
0.000250,0.000126,0.000108,0.000109,0.000321,0.000106,0.000107,0.000105,
0.000181,0.000130,0.000148,0.000129,0.000211,0.000142,0.000134,0.000111,
0.000166,0.000107,0.000117,0.000107,0.000111,0.000107,0.000160,0.000128,
0.000162,0.000109,0.000107,0.000110,0.000108,0.000256,0.000169,0.000130,
0.000290,0.000107,0.000113,0.000149,0.000107,0.000131,0.000131,0.000126,
0.000162,0.000109,0.000110,0.000116,0.000110,0.000109,0.000110,0.000117,
0.000167,0.000106,0.000108,0.000107,0.000241,0.000183,0.000315,0.000105,
0.000162,0.000114,0.000110,0.000111,0.000111,0.000109,0.000111,0.000111,
0.000159,0.000106,0.000108,0.000106,0.000107,0.000106,0.000107,0.000105,
0.000162,0.000106,0.000107,0.000108,0.000150,0.000122,0.000173,0.000294,
0.000168,0.000106,0.000107,0.000108,0.000209,0.000107,0.000107,0.000117,
0.000173,0.000109,0.000110,0.000114,0.000117,0.000138,0.000126,0.000120,
0.000532,0.000118,0.000142,0.000111,0.000106,0.000221,0.000142,0.000122,
0.000173,0.000320,0.000110,0.000113,0.000113,0.000111,0.000113,0.000111,
0.000171,0.000106,0.000107,0.000108,0.000111,0.000151,0.000108,0.000162,
0.000217,0.000182,0.000142,0.000107,0.000105,0.000143,0.000124,0.000105,
0.000173,0.000110,0.000111,0.000111,0.000110,0.000109,0.000110,0.000111,
0.000164,0.000108,0.000107,0.000107,0.000106,0.000173,0.000131,0.000107,
0.000168,0.000106,0.000373,0.000173,0.000107,0.000150,0.000218,0.000105,
0.000162,0.000118,0.000116,0.000111,0.000109,0.000110,0.000110,0.000109,
0.000264,0.000107,0.000128,0.000148,0.000191,0.000123,0.000108,0.000148,
0.000194,0.000106,0.000116,0.000107,0.000105,0.000106,0.000107,0.000108,
0.000173,0.000106,0.000232,0.000107,0.000106,0.000260,0.000419,0.000367,
0.000254,0.000175,0.000113,0.000141,0.000132,0.000162,0.000109,0.000151,
0.000356,0.000111,0.000113,0.000113,0.000115,0.000111,0.000111,0.000109,
0.000259,0.000215,0.000368,0.000175,0.000208,0.000111,0.000207,0.000109,
0.000214,0.000130,0.000193,0.000178,0.000111,0.000110,0.000111,0.000132,
0.000207,0.000111,0.000111,0.000114,0.000109,0.000110,0.000112,0.000167,
0.000224,0.000135,0.000142,0.000139,0.000143,0.000160,0.000139,0.000138,
0.000249,0.000201,0.000132,0.000164,0.000257,0.000173,0.000163,0.000158,
0.000238,0.000247,0.000169,0.000222,0.000203,0.000204,0.000182,0.000169,
0.000170,0.000110,0.000111,0.000111,0.000109,0.000109,0.000110,0.000160,
0.000163,0.000109,0.000110,0.000110,0.000111,0.000110,0.000111,0.000109,
0.000197,0.000163,0.000110,0.000115,0.000109,0.000310,0.000110,0.000109,
0.000181,0.000134,0.000135,0.000135,0.000134,0.000135,0.000137,0.000133,
0.000232,0.000106,0.000107,0.000108,0.000106,0.000106,0.000112,0.000108,
0.000180,0.000131,0.000127,0.000107,0.000107,0.000107,0.000106,0.000105,
0.000203,0.000107,0.000107,0.000107,0.000147,0.000110,0.000215,0.000255,
0.000156,0.000107,0.000107,0.000110,0.000108,0.000107,0.000107,0.000106,
0.000272,0.000154,0.000128,0.000109,0.000168,0.000105,0.000106,0.000105,
0.000172,0.000110,0.000110,0.000115,0.000119,0.000110,0.000111,0.000109,
0.000211,0.000158,0.000111,0.000110,0.000111,0.000111,0.000112,0.000110,
0.000171,0.000110,0.000113,0.000324,0.000110,0.000109,0.000109,0.000108,
0.000221,0.000147,0.000116,0.000111,0.000164,0.000109,0.000110,0.000108,
0.000186,0.000171,0.000211,0.000273,0.000200,0.000197,0.000108,0.000118,
0.000160,0.000109,0.000110,0.000224,0.000126,0.000106,0.000107,0.000206,
0.000270,0.000111,0.000111,0.000193,0.000156,0.000156,0.000179,0.000111,
0.000246,0.000106,0.000106,0.000202,0.000106,0.000107,0.000132,0.000158,
0.000284,0.000110,0.000176,0.000168,0.000169,0.000145,0.000169,0.000150,
0.000179,0.000110,0.000130,0.000111,0.000109,0.000110,0.000128,0.000110,
0.000278,0.000107,0.000109,0.000107,0.000109,0.000162,0.000116,0.000105,
0.000230,0.000110,0.000170,0.000112,0.000111,0.000111,0.000110,0.000109,
0.000174,0.000110,0.000150,0.000177,0.000110,0.000190,0.000164,0.000263,
0.000202,0.000130,0.000111,0.000111,0.000111,0.000110,0.000111,0.000109,
0.000246,0.000169,0.000208,0.000148,0.000150,0.000153,0.000109,0.000109,
0.000178,0.000109,0.000113,0.000111,0.000110,0.000110,0.000111,0.000109,
0.000261,0.000161,0.000130,0.000166,0.000474,0.000173,0.000134,0.000115,
0.000256,0.000112,0.000143,0.000255,0.000168,0.000128,0.000213,0.000105,
0.000185,0.000153,0.000135,0.000135,0.000138,0.000134,0.000135,0.000168,
0.000348,0.000181,0.000389,0.000194,0.000115,0.000131,0.000154,0.000129,
0.000199,0.000127,0.000163,0.000110,0.000109,0.000109,0.000109,0.000153,
0.000721,0.000144,0.000146,0.000160,0.000144,0.000164,0.001282,0.000131,
0.000169,0.000134,0.000134,0.000137,0.000133,0.000134,0.000138,0.000156,
